treatment,outcome,observed_effect,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_probability_effect_positive
Mens E-Mail,visit,0.07658956365153125,0.07015958961610909,0.08325540756005091,1.0
Mens E-Mail,conversion,0.006805006519615695,0.005021528307671354,0.008635419591852132,1.0
Mens E-Mail,spend,0.7698271558945367,0.49238691506693455,1.0587861658602886,1.0
Womens E-Mail,visit,0.045233106587052985,0.038777531236093184,0.051518793074541304,1.0
Womens E-Mail,conversion,0.003111057511085258,0.001517924850244394,0.004704016856251302,1.0
Womens E-Mail,spend,0.4244122159365966,0.16753984195710647,0.6910984014952112,0.9996
